economy,YR2000,YR2001,YR2002,YR2003,YR2004,YR2005,YR2006,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013,YR2014,YR2015,YR2016,YR2017,YR2018,YR2019,YR2020,YR2021
ALB,0.0500181363468233,3.10758827031435,7.77052583431551,0.484002611818484,2.28001916938099,2.36658195679796,2.37072831904283,2.93268248162319,3.32087090389268,2.2669220945083,3.62604695579817,3.42912324722164,2.03159268395298,1.93762080205227,1.62586504402607,3.50120835492656,-0.367317209784628,2.0605984592022,2.02805963071136,1.41109078954248,1.62088661717004,2.04147163139546
AND,,,,,,,,,,,,,,,,,,,,,,
ARM,-0.790883768934766,3.14590464685019,1.06004929341667,4.72155336605342,6.96126135875792,0.638928002410126,2.89235662459002,4.40736089644519,8.94995335353386,3.40676682683799,8.17636138473956,7.6500080785929,2.55802007757907,5.78966778544654,2.98130868933673,3.73169119261695,-1.40360755900906,0.969553268816231,2.52023382001631,1.44344660770702,1.21143577838465,7.18483629443373
AUT,2.34486285357277,2.65000077279529,1.81035787764132,1.35555370896445,2.06120618032866,2.29913785639285,1.44154851119019,2.16855528800755,3.21595033239883,0.506308827696486,1.81353438995065,3.28657914875376,2.48567562177017,2.00015616900603,1.60581182954471,0.896563335260302,0.891591752655335,2.08126911385587,1.99837981429546,1.53089564152645,1.38191063351859,2.76666666666665
AZE,1.80500303704358,1.54719590152278,2.77116471998268,2.23386492967051,6.70893042797785,9.67950731917054,8.32892482863207,16.6997549618245,20.8490871772713,1.45704835970323,5.72687224669606,7.85833333333332,1.06621339720313,2.41571745279411,1.3734418153318,4.02768573742728,12.4433748584372,12.9359184187334,2.26854690374005,2.61057182799216,2.75980947008126,6.65029912708779
BEL,2.54451776190906,2.46925823086078,1.64521436175359,1.58896399970379,2.09728311239314,2.78143263670025,1.79120770070454,1.8230563002681,4.48944420508401,-0.0531456741253762,2.18929920422458,3.53208210722744,2.83966343445897,1.11309594027537,0.340002833356965,0.561429152790106,1.97385264653172,2.12597086002609,2.05316499865181,1.43681956996435,0.740791812220385,2.44024851144081
BGR,10.3162621289989,7.36093927231849,5.81014365721823,2.34864169582755,6.1471307424627,5.03883807111907,7.26159462769947,8.40253419005894,12.3487195994021,2.75320223914816,2.43899060504117,4.21990346601875,2.95456829831017,0.890093540913032,-1.41818380264842,-0.104633261008417,-0.798649886453611,2.06159619443137,2.81454473824833,3.10372944796774,1.67244096855762,3.29774435299511
BIH,,,,,,,6.12556615620285,1.50077710611539,7.42704310332954,-0.38146428245309,1.99621236745889,3.67124999999999,2.0526745200172,-0.093045683831828,-0.897194054194286,-1.03602303425476,-1.58409999999997,0.810133321953047,1.41710814018026,0.562782154061303,-1.05129600763481,1.98163900587616
BLR,168.620235850933,61.1349331618477,42.5375481348794,28.3978399133474,18.1082424937646,10.3388794457932,6.99712903535588,8.42675273505308,14.8378764828254,12.9456563410401,7.73574804312507,53.2286983118173,59.2197360232519,18.3122610377873,18.1195543526734,13.5344897649734,11.8365807653497,6.0318372517779,4.87230220550689,5.59815595039851,5.54814357456511,9.46028389623105
CHE,1.55852919679006,0.989020329832555,0.64271150654328,0.638272930887213,0.802908730955216,1.17195420333701,1.05950928324804,0.732350603122241,2.42604117060162,-0.480481936423328,0.688238707220017,0.231349207650894,-0.692552018105236,-0.217323155115639,-0.0132025387515987,-1.14390867228178,-0.434618664285843,0.533787839825886,0.936335464113605,0.362886179940635,-0.725874933313391,0.581814168489875
CHI,,,,,,,,,,,,,,,,,,,,,,
CYP,4.14165764702056,1.97304191729919,2.80115505180746,4.13906538686856,2.28621706801675,2.56016132330235,2.30468732978557,2.37265183669722,4.66900841902484,0.326276652249795,2.43004084102253,3.28944939564212,2.38905410042319,-0.399357676464408,-1.35498885446312,-2.09699769053118,-1.42916666666668,0.5317664961745,1.43549119531762,0.250370996758456,-0.638422797978907,2.44608867175472
CZE,3.77538829151733,4.66267556988255,1.90298097019031,0.118739205526785,2.76010781671159,1.85709789109223,2.53399258343632,2.85312437211172,6.35866380152374,1.0193773532923,1.47272727272729,1.91721913635547,3.28762306610408,1.43829787234043,0.343988589646784,0.309364548494974,0.683504209385683,2.45053398460138,2.14949494949492,2.84787595918047,3.16129528497808,3.8398449150015
DEU,1.44026818676794,1.98385693617829,1.42080560518857,1.03422776551069,1.66573340932676,1.54690965159041,1.57742825864226,2.29834179696226,2.62838174873985,0.31273762987172,1.10380916115812,2.07517452479837,2.0084909216701,1.5047209800535,0.906797948515676,0.51442053951781,0.49174862477081,1.50949655801608,1.73216766075662,1.4456670146976,0.506689889953274,3.14296967309964
DNK,2.90328203236457,2.33787000255261,2.42443661219694,2.07507820646504,1.15435693124937,1.81781458291257,1.92422138464588,1.69326586220319,3.41626794258375,1.30470991024336,2.31092436974789,2.75868226051246,2.39791485664639,0.789071780078061,0.564020540449518,0.452034153691623,0.249999999999997,1.14713216957606,0.813609467455633,0.758131572511619,0.420711974110026,1.85304543989687
ESP,3.43351563418762,3.58983413338114,3.0656568590222,3.03888839396654,3.03924881090927,3.36881409750382,3.51557576832125,2.78679745804947,4.07534335957341,-0.287813083535237,1.79986457728766,3.19610188833788,2.44612782366812,1.40858109183012,-0.151114837527181,-0.500365709903282,-0.202598000426425,1.95607633363964,1.67498136863794,0.699518994458693,-0.322753017299705,3.09313511976406
EST,4.0184895250876,5.74827981651377,3.57191270164023,1.33499116549964,3.04811107523412,4.07971423199846,4.43762042389211,6.60132603055634,10.3623580313683,-0.0784083112810205,2.97204512015696,4.9819013145361,3.93339987296979,2.78056658954996,-0.106175146521716,-0.492326006547338,0.148684907627356,3.41723549488057,3.43632688420445,2.27725931243518,-0.444531097679859,4.65316673847481
FIN,3.04210080667796,2.57844080098894,1.57122012789382,0.877440386254743,0.187120559084453,0.623874450025199,1.56666380704384,2.51066565240339,4.06595355358378,-9.17360403259616e-07,1.1841352315465,3.41680754255211,2.80833622561575,1.47828615688804,1.04119621178439,-0.207928839905218,0.356684500891696,0.754015047084413,1.08382098409299,1.02409392963429,0.290554555653313,2.19457432339993
FRA,1.6759598872093,1.63478079549599,1.9234122872706,2.09847219146922,2.14208964640242,1.74586936380481,1.67512449608728,1.48799805953858,2.81286194914787,0.0876204781574529,1.53112270420924,2.11159795174997,1.95419531613507,0.863715497861826,0.507758822937957,0.0375143805125363,0.183334861123848,1.03228275064674,1.85081508315494,1.10825492288292,0.476498852725083,1.64233141038392
FRO,,,,,,,,,,,,,,,,,,,,,,
GBR,1.18295624210404,1.53234960272418,1.52040245947458,1.3765003854201,1.39039756680426,2.08913649025072,2.45566166439288,2.38656150773328,3.52140856342537,1.96173173560107,2.49265472467065,3.85611244682819,2.57323479654528,2.29166666666666,1.45112016293279,0.368046842325369,1.00841736811403,2.55775577557754,2.29283990345939,1.73810460086511,0.98948670377243,2.51837109614205
GEO,4.06396201382596,4.64604442058632,5.58783730000795,0.837734531536578,5.65632636191134,8.24709043114158,9.16096508394495,9.24489745592402,9.99948761552747,1.72751461137912,7.11017897486098,8.54293333333334,-0.943658853270966,-0.512058410947118,3.06881210379542,4.00357820695098,2.13492713939124,6.03531725272117,2.61524471397664,4.85289821696731,5.2024648897533,9.56691433824767
GIB,,,,,,,,,,,,,,,,,,,,,,
GRC,3.15118162493827,3.37396832213867,3.62935871878871,3.53065027765554,2.89884810758168,3.54507273335083,3.19594684144545,2.89500321516574,4.15279708110295,1.2100726919781,4.71298907760393,3.3298532335065,1.50152696177748,-0.921269454256898,-1.31226096405516,-1.73588804765278,-0.825653978391008,1.12125452031427,0.625621413453588,0.25300752203812,-1.24798355581408,1.22382501019855
GRL,,,,,,,,,,,,,,,,,,,,,,
HRV,4.611315547378,3.7767024666589,1.67178437393382,1.76733780760626,2.05539679050332,3.31717824448043,3.1898259147295,2.89928275583392,6.07696838798351,2.37852845904674,1.03055505333573,2.27272727272727,3.41207349081366,2.2165820642978,-0.215196159576215,-0.464499004645002,-1.12500000000001,1.12937210282344,1.50012501041753,0.771820346498083,0.154811374562028,2.55450699642046
HUN,9.80361016908127,9.11680911680913,5.26544821583986,4.66101694915256,6.74434679569463,3.56151711378355,3.93032603841,7.95874516544909,6.0425125388106,4.21171171171172,4.85555795691951,3.92992098935075,5.65214517088651,1.73319984983107,-0.227566270988384,-0.0616446800641176,0.394769306686402,2.34824281150159,2.85024792594642,3.3385863538201,3.3267438576673,5.11096534382858
IMN,,,,,,,,,,,,,,,,,,,,,,
IRL,5.59071729957807,4.87290487290487,4.614733276884,3.49048968029138,2.19962850718543,2.42969198392961,3.93163989540532,4.89711564381346,4.06030495117353,-4.47810339150477,-0.922095829024469,2.5571888318692,1.69620897294545,0.508714869485436,0.182542316627949,-0.289879079012739,0.00830633773569926,0.340531561461793,0.488370168032449,0.939044481054341,-0.334584625428444,2.35814296241712
ISL,5.13647123245151,6.40508550386865,5.1970223021663,2.0556632975374,3.15819324298464,3.98704782806592,6.68707906136661,5.05155736492145,12.6943942775878,12.0031298461743,5.39673113167484,4.00102664343116,5.18589988750705,3.8722792374824,2.04461481539337,1.63305558181333,1.6969276199774,1.76041559180606,2.68291768267388,3.01397179156056,2.84792401518658,4.44423970189747
ITA,2.53768532095005,2.78516542713555,2.46532319171164,2.67255552772852,2.20673661423654,1.98529298527983,2.09084391012755,1.829741122024,3.34783258401023,0.774768131387384,1.52551602118248,2.78063272879324,3.04136333226773,1.21999342274305,0.241047429826773,0.0387903996579552,-0.0940166569157271,1.22653316645808,1.13748763600395,0.611246943765291,-0.13770757391657,1.87378325762491
KAZ,13.1808905865731,8.35413777161342,5.83692452105645,6.43821810118939,6.88205438981899,7.57999929125766,8.72169386091735,10.8468362075558,17.139899777207,7.31607858288583,7.40046356742116,8.42488761919795,5.09791484975817,5.84640917320459,6.70657829092725,6.6657761154154,14.5460237946149,7.44000437325754,6.01913096570673,5.24547679608388,6.74900183815967,
KGZ,18.7007342838023,6.91967989423041,2.13420986310243,2.97461295184354,4.11065084723383,4.3386739184431,5.5521233316254,10.2301032660485,24.5201024234101,6.83656248105363,7.96772225579691,16.6363262731496,2.76844236540948,6.61375202358086,7.53424729775882,6.50331838993381,0.388838296895887,3.1753098637994,1.54266145238431,1.13362257718798,6.32542296338083,11.9050398185147
LIE,,,,,,,,,,,,,,,,,,,,,,
LTU,0.981615478857527,1.36712030817826,0.281506610345511,-1.13430854990244,1.16410252104669,2.65848484065266,3.73912004060656,5.73717382799847,10.9258856241655,4.4530445651853,1.31921362055463,4.13027562645087,3.08998277055416,1.04747937065349,0.103758009433715,-0.884097405500613,0.905525075460439,3.72288862303693,2.69792779208397,2.33450937988024,1.19989444983569,4.68354420903459
LUX,3.15076707022592,2.66382110579103,2.07408613571644,2.04984030563515,2.22567916428892,2.48769665164086,2.66631494577072,2.31245861786128,3.40187963025566,0.368041997888919,2.27367911621542,3.4106834106834,2.66284165508017,1.73403963519166,0.628543985440705,0.4747431614378,0.290833333333306,1.73079959118897,1.52819524307373,1.74332075653843,0.819957302126994,2.52692009066169
LVA,2.65425477796052,2.48704003555455,1.93887573855892,2.94264752948481,6.19238547197433,6.74845027893117,6.53619908765875,10.0929775849168,15.4023191064986,3.53410672858941,-1.08463595015159,4.37073559939221,2.25778924374594,-0.0294547782578977,0.620490636732377,0.174242243625214,0.140633334505292,2.93036312374664,2.53445424186602,2.81140920075622,0.219064904842049,3.27582937431157
